3.3,3.6,11.88,4.2,47.3927,52.8,53.4,52.1847,0.034,55.106,55.6797,22.0508,20.154,13.4748,39.603,36.1964,24.2007,0.3147,0.2588,939.9274,61.0576,57.2298,130.17,24.2,2.4,7.3,1.3,0.3,3.3,0.5,8.0927,220
3.3,3.6,11.88,4.122,47.2264,50.4,52,57.1392,0.038,59.001,60.97,13.8137,9.3901,37.7663,22.6565,15.4011,61.9424,0.6272,1.3416,932.1447,71.4974,66.507,165.04,16.3,0.5,2.2,0,3.8,8.4,0.5,15.5264,220
3.3,3.6,11.88,4.254,47.3518,50.1,48.3,56.9775,0.043,59.147,62.8792,6.0734,55.8415,0.9643,9.6588,88.8077,1.5335,3.7318,0,950.4732,84.8873,80.461,219.35,12.3,4.2,7.7,2.2,0.3,0.1,0,20.5518,220
3.3,3.6,11.88,4.119,47.369,47.7,49.7,53.0583,0.035,55.187,56.1116,19.0872,7.501,29.5235,34.0164,13.3679,52.6156,0.2406,0.6845,944.0026,67.9722,63.891,139.85,23.3,0.2,3.2,0.3,1.3,6.8,1.9,10.369,220
3.3,3.6,11.88,4.144,47.4738,47.5,49.9,59.7813,0.048,61.94,63.6838,9.6155,6.385,47.6834,15.0988,10.0261,74.8751,0.3369,1.407,948.704,108.7464,102.917,239.84,15.1,0.1,1.2,0,5.5,12.1,1.1,12.3738,220
3.3,3.6,11.88,4.148,48.0584,51.1,52.1,56.9797,0.044,58.993,61.3142,13.0934,47.5355,0.6853,21.3546,77.5276,1.1178,2.3217,0,951.3556,102.2557,97.0592,231.29,9.7,12.8,10.2,0.9,0,0,0,14.4584,220
3.3,3.6,11.88,4.129,47.394,45.2,48.7,50.1191,0.043,53.047,54.5988,8.9089,3.7753,41.9147,16.3169,6.9146,76.7685,0.2826,1.269,950.3365,104.4472,99.0556,223.22,20,0,0,0,2.6,7.7,4.8,12.294,220
3.3,3.6,11.88,4.124,47.4415,47.1,48.1,58.5113,0.05,61.104,62.7882,8.4712,5.0417,49.2753,13.4917,8.0296,78.4787,0.2657,1.4189,937.4131,105.9144,99.0604,240.43,13.9,0.5,11.4,0,5.1,0.6,1.6,14.3415,220
3.3,3.6,11.88,4.117,47.4116,47.8,48.29,53.8073,0.052,57.204,58.8419,13.7152,13.9598,31.1668,23.3087,23.7244,52.967,0.4306,1.2068,948.6883,100.2492,94.9327,245.01,21,0,2.9,0.6,1.5,6.4,0,15.0116,220
3.3,3.6,11.88,4.141,47.4114,47.3,51.1,56.2711,0.031,58.218,59.7169,18.2494,14.8493,26.6182,30.5598,24.8661,44.574,0.6557,0.843,965.3583,61.316,59.4471,296.68,24.0452,0.5,2.35,0.32,1.2,5.07,0.97,12.9562,220
3.3,3.6,11.88,4.141,47.5045,50.5,48.5,59.4596,0.03,61.179,62.3791,21.6624,8.2505,32.4662,34.7271,13.2263,52.0466,0.3007,0.8997,969.9328,85.1825,82.6809,247.77,24.0963,0.34,1.04,0.3127,3.253,5.83,0.822,11.8105,220
3.3,3.6,11.88,4.141,47.2836,46.6,47.9,62.0544,0.032,63.288,65.6539,14.2829,3.019,48.3521,21.7548,4.5984,73.6469,0.3298,2.0356,977.8738,87.0302,85.1294,252.19,21.6271,0.3698,0.4313,0.2054,1.6174,8.4075,0.5721,14.053,220
3.3,3.6,11.88,4.14,47.3373,48,45.8,51.3552,0.032,55.023,56.0542,20.0014,23.285,12.7677,35.6823,41.5402,22.7775,0.5795,0.4519,971.2212,91.3962,88.7881,245.2,23.1129,5.6031,2.8547,0.5923,0.403,3.0516,0.1854,11.5343,220
3.3,3.6,11.88,4.138,47.4078,47.7,47.9,56.5291,0.031,61.511,63.0663,21.1522,21.594,20.3201,33.5396,34.2402,32.2203,1.0011,0.5544,24.45,94.0285,0.0094,226.2,20.34,0.9,3.49,0.27,1.77,6.31,0.36,13.9678,220
3.3,3.6,11.88,4.136,45.951,48.5,49.6,52.2752,0.039,53.825,54.7107,14.8842,7.8395,31.9871,27.2052,14.3289,58.4659,0.2443,0.6411,963.1646,109.0104,105.1285,225.77,22.7,1.4,5,0.9,4.44,1.2,1.64,8.671,220
3.3,3.6,11.88,4.131,45.9,48,46.4,59.4781,0.044,61.671,64.2497,13.8865,9.0513,41.312,21.6133,14.0877,64.2991,0.516,2.0629,947.3253,102.051,96.4586,235.51,14.3,1.9,3.3,0.9,2.9,5.8,0.6,16.2,220
3.3,3.6,11.88,4.131,45.9005,56.7,53.7,59.4291,0.045,61.739,63.399,20.9274,9.811,32.6607,33.009,15.4749,51.5161,0.3799,1.2799,939.4486,98.9591,92.694,234.09,20.4,0.5,2,0.7,1.9,6.4,0.6,13.4005,220
